     Total   Exclusive  Set shared  Filename
  28.00KiB    28.00KiB           -  /var/log/YaST2/mkinitrd.log
     0.00B       0.00B           -  /var/log/YaST2/_dev_sdb
     0.00B       0.00B           -  /var/log/YaST2/_dev_disk_by-id_ata-Hitachi_HTS541680J9SA00_SB2204KGDXDXTE-part1
   8.00KiB     8.00KiB           -  /var/log/YaST2/y2changes
   4.00KiB     4.00KiB           -  /var/log/YaST2/curl_log
  20.00KiB    20.00KiB           -  /var/log/YaST2/storage-inst/01-probed.xml
   8.00KiB     8.00KiB           -  /var/log/YaST2/storage-inst/01-probed.yml
  28.00KiB    28.00KiB           -  /var/log/YaST2/storage-inst/02-proposed.xml
   8.00KiB     8.00KiB           -  /var/log/YaST2/storage-inst/02-proposed.yml
     0.00B       0.00B           -  /var/log/YaST2/storage-inst/03-actions.txt
  20.00KiB    20.00KiB           -  /var/log/YaST2/storage-inst/04-partitioner.xml
   4.00KiB     4.00KiB           -  /var/log/YaST2/storage-inst/04-partitioner.yml
     0.00B       0.00B           -  /var/log/YaST2/storage-inst/05-actions.txt
  20.00KiB    20.00KiB           -  /var/log/YaST2/storage-inst/06-committed.xml
   4.00KiB     4.00KiB           -  /var/log/YaST2/storage-inst/06-committed.yml
 112.00KiB   112.00KiB           -  /var/log/YaST2/storage-inst
  32.00KiB    32.00KiB           -  /var/log/YaST2/macro_inst_initial.ycp
   4.00KiB     4.00KiB           -  /var/log/YaST2/y2start.log
 740.00KiB   740.00KiB           -  /var/log/YaST2/yast-installation-logs.tar.xz
     0.00B       0.00B           -  /var/log/YaST2/config_diff_2020_03_07.log
     0.00B       0.00B           -  /var/log/YaST2/badlist
 696.00KiB   696.00KiB           -  /var/log/YaST2/y2log-9.gz
 808.00KiB   808.00KiB           -  /var/log/YaST2/y2log-8.gz
 812.00KiB   812.00KiB           -  /var/log/YaST2/y2log-7.gz
 656.00KiB   656.00KiB           -  /var/log/YaST2/y2log-6.gz
 700.00KiB   700.00KiB           -  /var/log/YaST2/y2log-5.gz
 768.00KiB   768.00KiB           -  /var/log/YaST2/y2log-4.gz
 652.00KiB   652.00KiB           -  /var/log/YaST2/y2log-3.gz
 520.00KiB   520.00KiB           -  /var/log/YaST2/y2log-2.gz
   3.06MiB     3.06MiB           -  /var/log/YaST2/y2log
 600.00KiB   600.00KiB           -  /var/log/YaST2/y2log-1.gz
